Date,Open,High,Low,Close,Adj Close,Volume
2019-04-13,0.113598,0.117328,0.110710,0.116737,0.116737,3167000
2019-04-14,0.116737,0.124709,0.115911,0.121348,0.121348,8557647
2019-04-15,0.121348,0.122922,0.116934,0.118215,0.118215,5451166
2019-04-16,0.118278,0.136121,0.118278,0.132593,0.132593,12507137
2019-04-17,0.132721,0.135342,0.126969,0.128515,0.128515,10528312
2019-04-18,0.128514,0.130564,0.125763,0.126318,0.126318,6071659
2019-04-19,0.126222,0.126782,0.120423,0.122095,0.122095,5660231
2019-04-20,0.122095,0.125455,0.120394,0.123417,0.123417,3426755
2019-04-21,0.123599,0.124640,0.111675,0.115076,0.115076,4587883
2019-04-22,0.114950,0.117243,0.112107,0.112107,0.112107,3722153
2019-04-23,0.112109,0.114154,0.110281,0.110794,0.110794,3819277
2019-04-24,0.110715,0.111232,0.095882,0.100429,0.100429,4983599
2019-04-25,0.100423,0.104444,0.091344,0.094520,0.094520,3150995
2019-04-26,0.094689,0.106440,0.092560,0.102921,0.102921,5347668
2019-04-27,0.102994,0.103664,0.098865,0.102418,0.102418,2748585
2019-04-28,0.102330,0.102535,0.097977,0.099299,0.099299,2728864
2019-04-29,0.099171,0.100336,0.089038,0.090880,0.090880,3111746
2019-04-30,0.090870,0.094684,0.089223,0.093511,0.093511,2283654
2019-05-01,0.093453,0.099483,0.092575,0.095748,0.095748,3039503
2019-05-02,0.095699,0.098888,0.094831,0.096084,0.096084,5589713
2019-05-03,0.096084,0.097239,0.092496,0.095604,0.095604,3673633
2019-05-04,0.095604,0.095843,0.087172,0.089663,0.089663,3434994
2019-05-05,0.089655,0.090856,0.086604,0.088579,0.088579,2951670
2019-05-06,0.088576,0.094467,0.087661,0.091703,0.091703,4097025
2019-05-07,0.091721,0.093369,0.084860,0.084860,0.084860,2559499
2019-05-08,0.084723,0.087605,0.082353,0.086689,0.086689,2433238
2019-05-09,0.086801,0.086808,0.077933,0.079009,0.079009,3415394
2019-05-10,0.078574,0.087169,0.077418,0.086273,0.086273,3482101
2019-05-11,0.086252,0.092644,0.084799,0.090316,0.090316,4852337
2019-05-12,0.090239,0.091492,0.085064,0.085830,0.085830,3273939
2019-05-13,0.085830,0.097566,0.084837,0.091052,0.091052,8000533
2019-05-14,0.091107,0.113846,0.090854,0.102794,0.102794,10753855
2019-05-15,0.102825,0.121371,0.102491,0.119086,0.119086,12535339
2019-05-16,0.119023,0.125860,0.107509,0.114061,0.114061,10978057
2019-05-17,0.114200,0.115081,0.096131,0.113349,0.113349,11606093
2019-05-18,0.113349,0.121939,0.111412,0.118658,0.118658,9974503
2019-05-19,0.119193,0.122119,0.116118,0.118842,0.118842,8619021
2019-05-20,0.118842,0.119135,0.109740,0.113216,0.113216,5982669
2019-05-21,0.113498,0.119986,0.111541,0.114096,0.114096,7695529
2019-05-22,0.114032,0.117689,0.105405,0.106450,0.106450,5585656
2019-05-23,0.106483,0.109158,0.101976,0.108739,0.108739,4720982
2019-05-24,0.109069,0.142614,0.108813,0.119336,0.119336,54557799
2019-05-25,0.119336,0.138293,0.119089,0.137792,0.137792,23581581
2019-05-26,0.137792,0.137792,0.121508,0.126490,0.126490,12266934
2019-05-27,0.126639,0.131989,0.125083,0.126999,0.126999,8392156
2019-05-28,0.126799,0.134433,0.124523,0.131667,0.131667,9129307
2019-05-29,0.131647,0.160126,0.125109,0.148922,0.148922,48371589
2019-05-30,0.149150,0.163007,0.128310,0.134125,0.134125,24884471
2019-05-31,0.134125,0.138874,0.128188,0.137501,0.137501,9888011
2019-06-01,0.137730,0.138825,0.129068,0.132083,0.132083,7535376
2019-06-02,0.132083,0.146970,0.131763,0.141668,0.141668,11721209
2019-06-03,0.141689,0.144073,0.132299,0.133438,0.133438,10310284
2019-06-04,0.133499,0.133499,0.123407,0.125296,0.125296,11031856
2019-06-05,0.125296,0.134061,0.124982,0.130767,0.130767,10003549
2019-06-06,0.130929,0.139702,0.126311,0.131617,0.131617,7698932
2019-06-07,0.131428,0.135532,0.131392,0.135028,0.135028,4612744
